,State,Soil,Crop,Variety,Season,Available-N(kg/ha),Available-P(kg/ha),Available-K(kg/ha),Required-N(kg/ha),Required-P(kg/ha),Required-K(kg/ha),Yeild(q/ha)
258,Andhra Pradesh,7,Rice,Pothana,Rabi,200.0,20,250.0,118.0,75,56.0,55.0
259,Andhra Pradesh,7,Rice,Pothana,Rabi,200.0,20,250.0,138.0,87,71.0,60.0
260,Andhra Pradesh,7,Rice,Pothana,Rabi,225.0,25,300.0,106.0,58,52.0,55.0
261,Andhra Pradesh,7,Rice,Pothana,Rabi,225.0,25,300.0,126.0,71,67.0,60.0
262,Andhra Pradesh,7,Rice,Pothana,Rabi,250.0,30,350.0,93.0,40,48.0,55.0
263,Andhra Pradesh,7,Rice,Pothana,Rabi,250.0,30,350.0,113.0,53,63.0,60.0
264,Andhra Pradesh,7,Rice,Pothana,Rabi,275.0,35,400.0,81.0,23,44.0,55.0
265,Andhra Pradesh,7,Rice,Pothana,Rabi,275.0,35,400.0,101.0,36,59.0,60.0
266,Andhra Pradesh,7,Rice,Pothana,Rabi,300.0,40,450.0,68.0,5,40.0,55.0
267,Andhra Pradesh,7,Rice,Pothana,Rabi,300.0,40,450.0,88.0,18,55.0,60.0
268,Andhra Pradesh,7,Rice,Pothana,Rabi,325.0,45,500.0,56.0,5,36.0,55.0
269,Andhra Pradesh,7,Rice,Pothana,Rabi,325.0,45,500.0,76.0,15,51.0,60.0
270,Andhra Pradesh,7,Rice,Pothana,Rabi,350.0,50,550.0,43.0,5,32.0,55.0
271,Andhra Pradesh,7,Rice,Pothana,Rabi,350.0,50,550.0,63.0,15,47.0,60.0
272,Andhra Pradesh,7,Rice,Pothana,Rabi,375.0,55,600.0,31.0,5,28.0,55.0
273,Andhra Pradesh,7,Rice,Pothana,Rabi,375.0,55,600.0,51.0,15,43.0,60.0
274,Andhra Pradesh,7,Rice,Pothana,Rabi,400.0,60,650.0,18.0,5,24.0,55.0
275,Andhra Pradesh,7,Rice,Pothana,Rabi,400.0,60,650.0,38.0,15,39.0,60.0
276,New Delhi,8,Rice,Generic,Kharif,100.0,10,100.0,200.0,120,95.0,50.0
277,New Delhi,8,Rice,Generic,Kharif,100.0,10,100.0,250.0,120,120.0,60.0
278,New Delhi,8,Rice,Generic,Kharif,125.0,13,125.0,190.0,120,90.0,50.0
279,New Delhi,8,Rice,Generic,Kharif,125.0,13,125.0,235.0,120,115.0,60.0
280,New Delhi,8,Rice,Generic,Kharif,150.0,15,150.0,175.0,105,85.0,50.0
281,New Delhi,8,Rice,Generic,Kharif,150.0,15,150.0,225.0,120,105.0,60.0
282,New Delhi,8,Rice,Generic,Kharif,175.0,18,175.0,165.0,85,80.0,50.0
283,New Delhi,8,Rice,Generic,Kharif,175.0,18,175.0,215.0,120,100.0,60.0
284,New Delhi,8,Rice,Generic,Kharif,200.0,20,200.0,155.0,70,75.0,50.0
285,New Delhi,8,Rice,Generic,Kharif,200.0,20,200.0,200.0,115,95.0,60.0
286,New Delhi,8,Rice,Generic,Kharif,225.0,23,225.0,140.0,50,70.0,50.0
287,New Delhi,8,Rice,Generic,Kharif,225.0,23,225.0,190.0,95,90.0,60.0
288,New Delhi,8,Rice,Generic,Kharif,250.0,25,250.0,130.0,30,65.0,50.0
289,New Delhi,8,Rice,Generic,Kharif,250.0,25,250.0,180.0,75,85.0,60.0
290,New Delhi,8,Rice,Generic,Kharif,275.0,28,275.0,120.0,10,60.0,50.0
291,New Delhi,8,Rice,Generic,Kharif,275.0,28,275.0,165.0,55,80.0,60.0
292,New Delhi,8,Rice,Generic,Kharif,300.0,30,300.0,105.0,10,55.0,50.0
293,New Delhi,8,Rice,Generic,Kharif,300.0,30,300.0,155.0,35,75.0,60.0
294,New Delhi,8,Rice,Generic,Kharif,325.0,33,325.0,95.0,10,50.0,50.0
295,New Delhi,8,Rice,Generic,Kharif,325.0,33,325.0,145.0,15,70.0,60.0
296,New Delhi,8,Rice,Generic,Kharif,350.0,36,350.0,85.0,10,45.0,50.0
297,New Delhi,8,Rice,Generic,Kharif,350.0,36,350.0,130.0,15,65.0,60.0
298,New Delhi,8,Rice,Generic,Kharif,375.0,38,375.0,70.0,10,35.0,50.0
299,New Delhi,8,Rice,Generic,Kharif,375.0,38,375.0,120.0,15,60.0,60.0
300,Bihar,9,Rice,Generic,Kharif,120.0,4,60.0,88.0,62,51.0,25.0
301,Bihar,9,Rice,Generic,Kharif,120.0,4,60.0,118.0,76,70.0,30.0
302,Bihar,9,Rice,Generic,Kharif,130.0,6,70.0,82.0,58,44.0,25.0
303,Bihar,9,Rice,Generic,Kharif,130.0,6,70.0,113.0,72,63.0,30.0
304,Bihar,9,Rice,Generic,Kharif,140.0,8,80.0,77.0,53,37.0,25.0
305,Bihar,9,Rice,Generic,Kharif,140.0,8,80.0,107.0,68,56.0,30.0
306,Bihar,9,Rice,Generic,Kharif,150.0,10,90.0,71.0,49,30.0,25.0
307,Bihar,9,Rice,Generic,Kharif,150.0,10,90.0,102.0,63,49.0,30.0
308,Bihar,9,Rice,Generic,Kharif,160.0,12,100.0,66.0,45,23.0,25.0
309,Bihar,9,Rice,Generic,Kharif,160.0,12,100.0,96.0,59,42.0,30.0
310,Bihar,9,Rice,Generic,Kharif,170.0,14,110.0,60.0,41,16.0,25.0
311,Bihar,9,Rice,Generic,Kharif,170.0,14,110.0,91.0,55,35.0,30.0
312,Bihar,9,Rice,Generic,Kharif,180.0,16,120.0,55.0,36,10.0,25.0
313,Bihar,9,Rice,Generic,Kharif,180.0,16,120.0,85.0,50,28.0,30.0
314,Bihar,9,Rice,Generic,Kharif,190.0,18,130.0,49.0,32,10.0,25.0
315,Bihar,9,Rice,Generic,Kharif,190.0,18,130.0,80.0,46,21.0,30.0
316,Bihar,9,Rice,Generic,Kharif,200.0,20,140.0,44.0,28,10.0,25.0
317,Bihar,9,Rice,Generic,Kharif,200.0,20,140.0,74.0,42,14.0,30.0
318,Bihar,9,Rice,Generic,Kharif,210.0,22,150.0,38.0,23,10.0,25.0
319,Bihar,9,Rice,Generic,Kharif,210.0,22,150.0,69.0,37,10.0,30.0
320,Bihar,9,Rice,Generic,Kharif,220.0,24,160.0,33.0,19,10.0,25.0
321,Bihar,9,Rice,Generic,Kharif,220.0,24,160.0,63.0,33,10.0,30.0
322,Bihar,9,Rice,Generic,Kharif,230.0,26,170.0,25.0,15,10.0,25.0
323,Bihar,9,Rice,Generic,Kharif,230.0,26,170.0,58.0,29,10.0,30.0
324,Bihar,9,Rice,Generic,Kharif,240.0,28,180.0,25.0,15,10.0,25.0
325,Bihar,9,Rice,Generic,Kharif,240.0,28,180.0,52.0,24,10.0,30.0
326,Bihar,9,Rice,Generic,Kharif,250.0,30,190.0,25.0,15,10.0,25.0
327,Bihar,9,Rice,Generic,Kharif,250.0,30,190.0,47.0,20,10.0,30.0
328,West Bengal,10,Rice,IET04094,Kharif,250.0,5,100.0,111.0,84,87.0,3.5
329,West Bengal,10,Rice,IET04094,Kharif,250.0,5,100.0,129.0,98,90.0,4.0
330,West Bengal,10,Rice,IET04094,Kharif,275.0,10,150.0,102.0,84,87.0,3.5
331,West Bengal,10,Rice,IET04094,Kharif,275.0,10,150.0,120.0,98,90.0,4.0
332,West Bengal,10,Rice,IET04094,Kharif,300.0,15,200.0,93.0,84,87.0,3.5
333,West Bengal,10,Rice,IET04094,Kharif,300.0,15,200.0,111.0,98,90.0,4.0
334,West Bengal,10,Rice,IET04094,Kharif,325.0,20,250.0,84.0,84,87.0,3.5
335,West Bengal,10,Rice,IET04094,Kharif,325.0,20,250.0,102.0,94,90.0,4.0
336,West Bengal,10,Rice,IET04094,Kharif,350.0,25,300.0,76.0,80,87.0,3.5
337,West Bengal,10,Rice,IET04094,Kharif,350.0,25,300.0,94.0,89,100.0,4.0
338,West Bengal,10,Rice,IET04094,Kharif,375.0,30,350.0,67.0,75,77.0,3.5
339,West Bengal,10,Rice,IET04094,Kharif,375.0,30,350.0,85.0,85,90.0,4.0
340,West Bengal,10,Borp Rice,IET04789,Boro,250.0,5,100.0,117.0,90,71.0,55.0
341,West Bengal,10,Borp Rice,IET04789,Boro,250.0,5,100.0,139.0,99,80.0,60.0
342,West Bengal,10,Borp Rice,IET04789,Boro,275.0,10,150.0,103.0,85,61.0,55.0
343,West Bengal,10,Borp Rice,IET04789,Boro,275.0,10,150.0,126.0,94,69.0,60.0
344,West Bengal,10,Borp Rice,IET04789,Boro,300.0,15,200.0,90.0,80,50.0,55.0
345,West Bengal,10,Borp Rice,IET04789,Boro,300.0,15,200.0,113.0,89,59.0,60.0
346,West Bengal,10,Borp Rice,IET04789,Boro,325.0,20,250.0,77.0,75,40.0,55.0
347,West Bengal,10,Borp Rice,IET04789,Boro,325.0,20,250.0,100.0,83,48.0,60.0
348,West Bengal,10,Borp Rice,IET04789,Boro,350.0,25,300.0,64.0,69,29.0,55.0
349,West Bengal,10,Borp Rice,IET04789,Boro,350.0,25,300.0,86.0,78,38.0,60.0
350,West Bengal,10,Borp Rice,IET04789,Boro,375.0,30,350.0,50.0,64,19.0,55.0
351,West Bengal,10,Borp Rice,IET04789,Boro,375.0,30,350.0,73.0,73,27.0,60.0
352,Maharashtra,11,Sugarcane,Adsali,autun0spring,100.0,6,200.0,612.0,256,252.0,175.0
353,Maharashtra,11,Sugarcane,Adsali,autun0spring,100.0,6,200.0,722.0,297,298.0,200.0
354,Maharashtra,11,Sugarcane,Adsali,autun0spring,120.0,8,300.0,581.0,247,215.0,175.0
355,Maharashtra,11,Sugarcane,Adsali,autun0spring,120.0,8,300.0,691.0,288,261.0,200.0
356,Maharashtra,11,Sugarcane,Adsali,autun0spring,140.0,10,400.0,550.0,238,178.0,175.0
357,Maharashtra,11,Sugarcane,Adsali,autun0spring,140.0,10,400.0,660.0,278,224.0,200.0
358,Maharashtra,11,Sugarcane,Adsali,autun0spring,160.0,12,500.0,519.0,229,141.0,175.0
359,Maharashtra,11,Sugarcane,Adsali,autun0spring,160.0,12,500.0,628.0,269,187.0,200.0
360,Maharashtra,11,Sugarcane,Adsali,autun0spring,180.0,14,600.0,487.0,220,104.0,175.0
361,Maharashtra,11,Sugarcane,Adsali,autun0spring,180.0,14,600.0,597.0,260,150.0,200.0
362,Maharashtra,11,Sugarcane,Adsali,autun0spring,200.0,16,700.0,456.0,211,67.0,175.0
363,Maharashtra,11,Sugarcane,Adsali,autun0spring,200.0,16,700.0,566.0,251,113.0,200.0
364,Maharashtra,12,Sorghum,CSH09,Kharif,100.0,6,200.0,87.0,47,90.0,40.0
365,Maharashtra,12,Sorghum,CSH09,Kharif,100.0,6,200.0,110.0,58,106.0,45.0
366,Maharashtra,12,Sorghum,CSH09,Kharif,120.0,8,300.0,68.0,33,68.0,40.0
367,Maharashtra,12,Sorghum,CSH09,Kharif,120.0,8,300.0,91.0,44,84.0,45.0
368,Maharashtra,12,Sorghum,CSH09,Kharif,140.0,10,400.0,49.0,19,46.0,40.0
369,Maharashtra,12,Sorghum,CSH09,Kharif,140.0,10,400.0,72.0,30,62.0,45.0
370,Maharashtra,12,Sorghum,CSH09,Kharif,160.0,12,500.0,30.0,25,24.0,40.0
371,Maharashtra,12,Sorghum,CSH09,Kharif,160.0,12,500.0,52.0,16,40.0,45.0
372,Maharashtra,12,Sorghum,CSH09,Kharif,180.0,14,600.0,10.0,25,25.0,40.0
373,Maharashtra,12,Sorghum,CSH09,Kharif,180.0,14,600.0,33.0,25,18.0,45.0
374,Maharashtra,12,Sorghum,CSH09,Kharif,200.0,14,700.0,25.0,25,25.0,40.0
375,Maharashtra,12,Sorghum,CSH09,Kharif,200.0,14,700.0,14.0,25,25.0,45.0
376,Maharashtra,11,Sorghum,CSH08 R,Rabi,100.0,6,200.0,158.0,74,102.0,50.0
377,Maharashtra,11,Sorghum,CSH08 R,Rabi,100.0,6,200.0,205.0,94,135.0,60.0
378,Maharashtra,11,Sorghum,CSH08 R,Rabi,120.0,8,250.0,143.0,66,85.0,50.0
379,Maharashtra,11,Sorghum,CSH08 R,Rabi,120.0,8,250.0,190.0,86,119.0,60.0
380,Maharashtra,11,Sorghum,CSH08 R,Rabi,140.0,10,300.0,127.0,57,69.0,50.0
381,Maharashtra,11,Sorghum,CSH08 R,Rabi,140.0,10,300.0,174.0,77,102.0,60.0
382,Maharashtra,11,Sorghum,CSH08 R,Rabi,160.0,12,350.0,112.0,49,52.0,50.0
383,Maharashtra,11,Sorghum,CSH08 R,Rabi,160.0,12,350.0,159.0,69,86.0,60.0
384,Maharashtra,11,Sorghum,CSH08 R,Rabi,180.0,14,400.0,96.0,40,36.0,50.0
385,Maharashtra,11,Sorghum,CSH08 R,Rabi,180.0,14,400.0,143.0,60,69.0,60.0
386,Maharashtra,11,Sorghum,CSH08 R,Rabi,200.0,16,450.0,81.0,31,19.0,50.0
387,Maharashtra,11,Sorghum,CSH08 R,Rabi,200.0,16,450.0,128.0,51,53.0,60.0
388,Maharashtra,11,Sorghum,CSH08 R,Rabi,220.0,18,500.0,66.0,23,25.0,50.0
389,Maharashtra,11,Sorghum,CSH08 R,Rabi,220.0,18,500.0,113.0,43,36.0,60.0
390,Maharashtra,11,Sorghum,CSH08 R,Rabi,240.0,20,500.0,50.0,14,25.0,50.0
391,Maharashtra,11,Sorghum,CSH08 R,Rabi,240.0,20,500.0,97.0,34,25.0,60.0
392,Maharashtra,13,Finger Millet,Nagli RAU08,0,100.0,6,200.0,30.0,28,10.0,12.0
393,Maharashtra,13,Finger Millet,Nagli RAU08,0,100.0,6,200.0,57.0,45,17.0,18.0
394,Maharashtra,13,Finger Millet,Nagli RAU08,0,120.0,8,300.0,26.0,25,25.0,12.0
395,Maharashtra,13,Finger Millet,Nagli RAU08,0,120.0,8,300.0,52.0,43,15.0,18.0
396,Maharashtra,13,Finger Millet,Nagli RAU08,0,140.0,10,400.0,21.0,22,25.0,12.0
397,Maharashtra,13,Finger Millet,Nagli RAU08,0,140.0,10,400.0,48.0,40,25.0,18.0
398,Maharashtra,13,Finger Millet,Nagli RAU08,0,160.0,12,500.0,17.0,20,25.0,12.0
399,Maharashtra,13,Finger Millet,Nagli RAU08,0,160.0,12,500.0,43.0,37,25.0,18.0
400,Maharashtra,13,Finger Millet,Nagli RAU08,0,180.0,14,600.0,25.0,17,25.0,12.0
401,Maharashtra,13,Finger Millet,Nagli RAU08,0,180.0,14,600.0,39.0,35,25.0,18.0
402,Maharashtra,13,Finger Millet,Nagli RAU08,0,200.0,16,700.0,25.0,14,25.0,12.0
403,Maharashtra,13,Finger Millet,Nagli RAU08,0,200.0,16,700.0,34.0,32,25.0,18.0
404,Maharashtra,11,Fodder Maize,African tall,Summer,100.0,6,200.0,203.6,56.02,72.0,40.0
405,Maharashtra,11,Fodder Maize,African tall,Summer,100.0,6,200.0,268.5,71.12,96.5,50.0
406,Maharashtra,11,Fodder Maize,African tall,Summer,120.0,8,300.0,192.4,54.56,59.0,40.0
407,Maharashtra,11,Fodder Maize,African tall,Summer,120.0,8,300.0,257.3,69.66,83.5,50.0
408,Maharashtra,11,Fodder Maize,African tall,Summer,140.0,10,400.0,181.2,53.1,46.0,40.0
409,Maharashtra,11,Fodder Maize,African tall,Summer,140.0,10,400.0,246.1,68.2,70.5,50.0
410,Maharashtra,11,Fodder Maize,African tall,Summer,160.0,12,500.0,170.0,51.64,33.0,40.0
411,Maharashtra,11,Fodder Maize,African tall,Summer,160.0,12,500.0,234.9,66.74,57.5,50.0
412,Maharashtra,11,Fodder Maize,African tall,Summer,180.0,14,600.0,158.8,50.18,20.0,40.0
413,Maharashtra,11,Fodder Maize,African tall,Summer,180.0,14,600.0,223.7,65.28,44.5,50.0
414,Maharashtra,11,Fodder Maize,African tall,Summer,200.0,16,700.0,147.6,48.72,25.0,40.0
415,Maharashtra,11,Fodder Maize,African tall,Summer,200.0,16,700.0,215.5,63.82,31.5,50.0
416,Maharashtra,11,Cotton,RHR0253,Kharif,100.0,6,250.0,187.0,119,126.0,20.0
417,Maharashtra,11,Cotton,RHR0253,Kharif,100.0,6,250.0,239.0,146,160.0,24.0
418,Maharashtra,11,Cotton,RHR0253,Kharif,120.0,10,300.0,172.0,108,117.0,20.0
419,Maharashtra,11,Cotton,RHR0253,Kharif,120.0,10,300.0,224.0,135,151.0,24.0
420,Maharashtra,11,Cotton,RHR0253,Kharif,140.0,14,350.0,157.0,96,108.0,20.0
421,Maharashtra,11,Cotton,RHR0253,Kharif,140.0,14,350.0,209.0,124,142.0,24.0
422,Maharashtra,11,Cotton,RHR0253,Kharif,160.0,18,400.0,142.0,85,99.0,20.0
423,Maharashtra,11,Cotton,RHR0253,Kharif,160.0,18,400.0,194.0,112,133.0,24.0
424,Maharashtra,11,Cotton,RHR0253,Kharif,180.0,22,450.0,127.0,68,90.0,20.0
425,Maharashtra,11,Cotton,RHR0253,Kharif,180.0,22,450.0,179.0,95,124.0,24.0
426,Maharashtra,11,Cotton,RHR0253,Kharif,200.0,26,500.0,112.0,57,81.0,20.0
427,Maharashtra,11,Cotton,RHR0253,Kharif,200.0,26,500.0,164.0,84,115.0,24.0
428,Maharashtra,11,Cotton,RHR0253,Kharif,220.0,30,550.0,97.0,45,72.0,20.0
429,Maharashtra,11,Cotton,RHR0253,Kharif,220.0,30,550.0,149.0,73,106.0,24.0
430,Maharashtra,11,Cotton,RHR0253,Kharif,240.0,34,600.0,82.0,34,63.0,20.0
431,Maharashtra,11,Cotton,RHR0253,Kharif,240.0,34,600.0,139.0,61,97.0,24.0
432,Maharashtra,11,Cotton,RHR0253,Kharif,100.0,6,250.0,187.0,119,126.0,20.0
433,Maharashtra,11,Cotton,RHR0253,Kharif,100.0,6,250.0,239.0,146,160.0,24.0
434,Maharashtra,11,Cotton,RHR0253,Kharif,120.0,10,300.0,172.0,108,117.0,20.0
435,Maharashtra,11,Cotton,RHR0253,Kharif,120.0,10,300.0,224.0,135,151.0,24.0
436,Maharashtra,11,Cotton,RHR0253,Kharif,140.0,14,350.0,157.0,96,108.0,20.0
437,Maharashtra,11,Cotton,RHR0253,Kharif,140.0,14,350.0,209.0,124,142.0,24.0
438,Maharashtra,11,Cotton,RHR0253,Kharif,160.0,18,400.0,142.0,85,99.0,20.0
439,Maharashtra,11,Cotton,RHR0253,Kharif,160.0,18,400.0,194.0,112,133.0,24.0
440,Maharashtra,11,Cotton,RHR0253,Kharif,180.0,22,450.0,127.0,68,90.0,20.0
441,Maharashtra,11,Cotton,RHR0253,Kharif,180.0,22,450.0,179.0,95,124.0,24.0
442,Maharashtra,11,Cotton,RHR0253,Kharif,200.0,26,500.0,112.0,57,81.0,20.0
443,Maharashtra,11,Cotton,RHR0253,Kharif,200.0,26,500.0,164.0,84,115.0,24.0
444,Maharashtra,11,Cotton,RHR0253,Kharif,220.0,30,550.0,97.0,45,72.0,20.0
445,Maharashtra,11,Cotton,RHR0253,Kharif,220.0,30,550.0,149.0,73,106.0,24.0
446,Maharashtra,11,Cotton,RHR0253,Kharif,240.0,34,600.0,82.0,34,63.0,20.0
447,Maharashtra,11,Cotton,RHR0253,Kharif,240.0,34,600.0,139.0,61,97.0,24.0
448,Maharashtra,14,Sugarcane,Co 86032,Seasonal,100.0,6,200.0,342.0,115,231.0,100.0
449,Maharashtra,14,Sugarcane,Co 86032,Seasonal,100.0,6,200.0,437.0,140,286.0,120.0
450,Maharashtra,14,Sugarcane,Co 86032,Seasonal,120.0,8,300.0,315.0,112,210.0,100.0
451,Maharashtra,14,Sugarcane,Co 86032,Seasonal,120.0,8,300.0,410.0,136,265.0,120.0
452,Maharashtra,14,Sugarcane,Co 86032,Seasonal,140.0,10,400.0,288.0,109,181.0,100.0
453,Maharashtra,14,Sugarcane,Co 86032,Seasonal,140.0,10,400.0,384.0,133,244.0,120.0
454,Maharashtra,14,Sugarcane,Co 86032,Seasonal,160.0,12,500.0,261.0,105,168.0,100.0
455,Maharashtra,14,Sugarcane,Co 86032,Seasonal,160.0,12,500.0,357.0,130,223.0,120.0
456,Maharashtra,14,Sugarcane,Co 86032,Seasonal,180.0,14,600.0,234.0,102,147.0,100.0
457,Maharashtra,14,Sugarcane,Co 86032,Seasonal,180.0,14,600.0,330.0,127,202.0,120.0
458,Maharashtra,14,Sugarcane,Co 86032,Seasonal,200.0,16,700.0,207.0,99,134.0,100.0
459,Maharashtra,14,Sugarcane,Co 86032,Seasonal,200.0,16,700.0,303.0,124,181.0,120.0
460,Maharashtra,15,Groundnut,Phule Pragati,Kharif,100.0,6,200.0,46.0,73,31.0,20.0
461,Maharashtra,15,Groundnut,Phule Pragati,Kharif,100.0,6,200.0,67.0,98,47.0,25.0
462,Maharashtra,15,Groundnut,Phule Pragati,Kharif,120.0,8,250.0,39.0,64,23.0,20.0
463,Maharashtra,15,Groundnut,Phule Pragati,Kharif,120.0,8,250.0,60.0,89,39.0,25.0
464,Maharashtra,15,Groundnut,Phule Pragati,Kharif,140.0,10,300.0,31.0,56,15.0,20.0
465,Maharashtra,15,Groundnut,Phule Pragati,Kharif,140.0,10,300.0,52.0,80,31.0,25.0
466,Maharashtra,15,Groundnut,Phule Pragati,Kharif,160.0,12,350.0,24.0,47,25.0,20.0
467,Maharashtra,15,Groundnut,Phule Pragati,Kharif,160.0,12,350.0,45.0,72,23.0,25.0
468,Maharashtra,15,Groundnut,Phule Pragati,Kharif,180.0,14,400.0,17.0,38,25.0,20.0
469,Maharashtra,15,Groundnut,Phule Pragati,Kharif,180.0,14,400.0,37.0,63,15.0,25.0
470,Maharashtra,15,Groundnut,Phule Pragati,Kharif,200.0,16,450.0,25.0,29,25.0,20.0
471,Maharashtra,15,Groundnut,Phule Pragati,Kharif,200.0,16,450.0,30.0,54,25.0,25.0
472,Maharashtra,15,Groundnut,Phule Pragati,Kharif,220.0,18,500.0,25.0,21,25.0,20.0
473,Maharashtra,15,Groundnut,Phule Pragati,Kharif,220.0,18,500.0,23.0,46,25.0,25.0
474,Maharashtra,15,Groundnut,SB0IX,Summer,100.0,6,200.0,65.0,169,61.0,20.0
475,Maharashtra,15,Groundnut,SB0IX,Summer,100.0,6,200.0,85.0,210,77.0,25.0
476,Maharashtra,15,Groundnut,SB0IX,Summer,120.0,8,300.0,57.0,157,51.0,20.0
477,Maharashtra,15,Groundnut,SB0IX,Summer,120.0,8,300.0,77.0,198,67.0,25.0
478,Maharashtra,15,Groundnut,SB0IX,Summer,140.0,10,400.0,49.0,144,41.0,20.0
479,Maharashtra,15,Groundnut,SB0IX,Summer,140.0,10,400.0,69.0,185,57.0,25.0
480,Maharashtra,15,Groundnut,SB0IX,Summer,160.0,12,500.0,41.0,132,31.0,20.0
481,Maharashtra,15,Groundnut,SB0IX,Summer,160.0,12,500.0,61.0,173,47.0,25.0
482,Maharashtra,15,Groundnut,SB0IX,Summer,180.0,14,600.0,33.0,120,21.0,20.0
483,Maharashtra,15,Groundnut,SB0IX,Summer,180.0,14,600.0,53.0,161,37.0,25.0
484,Maharashtra,15,Groundnut,SB0IX,Summer,200.0,16,700.0,25.0,107,11.0,20.0
485,Maharashtra,15,Groundnut,SB0IX,Summer,200.0,16,700.0,45.0,149,27.0,25.0
486,Maharashtra,16,Soybean,JS0335,Kharif,100.0,6,200.0,104.0,127,73.0,25.0
487,Maharashtra,16,Soybean,JS0335,Kharif,100.0,6,200.0,60.0,85,63.0,25.0
488,Maharashtra,16,Soybean,JS0335,Kharif,120.0,8,300.0,90.0,119,60.0,25.0
489,Maharashtra,16,Soybean,JS0335,Kharif,120.0,8,300.0,52.0,79,52.0,25.0
490,Maharashtra,16,Soybean,JS0335,Kharif,140.0,10,400.0,76.0,110,47.0,25.0
491,Maharashtra,16,Soybean,JS0335,Kharif,140.0,10,400.0,44.0,73,41.0,25.0
492,Maharashtra,16,Soybean,JS0335,Kharif,160.0,12,500.0,63.0,101,34.0,25.0
493,Maharashtra,16,Soybean,JS0335,Kharif,160.0,12,500.0,36.0,67,30.0,25.0
494,Maharashtra,16,Soybean,JS0335,Kharif,180.0,14,600.0,49.0,92,21.0,25.0
495,Maharashtra,16,Soybean,JS0335,Kharif,180.0,14,600.0,29.0,61,19.0,25.0
496,Maharashtra,16,Soybean,JS0335,Kharif,200.0,16,700.0,36.0,83,25.0,25.0
497,Maharashtra,16,Soybean,JS0335,Kharif,200.0,16,700.0,21.0,56,25.0,25.0
498,Maharashtra,16,Soybean,JS0335,Kharif,220.0,18,800.0,22.0,74,25.0,25.0
499,Maharashtra,16,Soybean,JS0335,Kharif,220.0,18,800.0,13.0,50,25.0,25.0
500,Maharashtra,11,Sunflower,SS056,Kharif,160.0,8,250.0,123.0,59,45.0,16.0
501,Maharashtra,11,Sunflower,SS056,Kharif,160.0,8,250.0,150.0,74,54.0,18.0
502,Maharashtra,11,Sunflower,SS056,Kharif,180.0,10,300.0,110.0,45,39.0,16.0
503,Maharashtra,11,Sunflower,SS056,Kharif,180.0,10,300.0,137.0,60,48.0,18.0
504,Maharashtra,11,Sunflower,SS056,Kharif,200.0,12,350.0,97.0,31,33.0,16.0
505,Maharashtra,11,Sunflower,SS056,Kharif,200.0,12,350.0,124.0,46,42.0,18.0
506,Maharashtra,11,Sunflower,SS056,Kharif,220.0,14,400.0,84.0,17,27.0,16.0
507,Maharashtra,11,Sunflower,SS056,Kharif,220.0,14,400.0,111.0,32,36.0,18.0
508,Maharashtra,11,Sunflower,SS056,Kharif,240.0,16,450.0,71.0,25,21.0,16.0
509,Maharashtra,11,Sunflower,SS056,Kharif,240.0,16,450.0,98.0,25,30.0,18.0
510,Maharashtra,15,wheat,HD02189,RABI,100.0,6,250.0,237.0,59,45.0,40.0
511,Maharashtra,15,wheat,HD02189,RABI,100.0,6,250.0,303.0,78,69.0,50.0
512,Maharashtra,15,wheat,HD02189,RABI,120.0,8,275.0,222.0,53,40.0,40.0
513,Maharashtra,15,wheat,HD02189,RABI,120.0,8,275.0,288.0,72,64.0,50.0
514,Maharashtra,15,wheat,HD02189,RABI,140.0,10,300.0,207.0,47,34.0,40.0
515,Maharashtra,15,wheat,HD02189,RABI,140.0,10,300.0,273.0,66,58.0,50.0
516,Maharashtra,15,wheat,HD02189,RABI,160.0,12,325.0,193.0,41,29.0,40.0
517,Maharashtra,15,wheat,HD02189,RABI,160.0,12,325.0,259.0,60,53.0,50.0
518,Maharashtra,15,wheat,HD02189,RABI,180.0,14,350.0,178.0,36,23.0,40.0
519,Maharashtra,15,wheat,HD02189,RABI,180.0,14,350.0,244.0,55,47.0,50.0
520,Maharashtra,15,wheat,HD02189,RABI,200.0,16,375.0,163.0,30,18.0,40.0
521,Maharashtra,15,wheat,HD02189,RABI,200.0,16,375.0,229.0,49,42.0,50.0
522,Maharashtra,15,wheat,HD02189,RABI,220.0,18,400.0,149.0,25,25.0,40.0
523,Maharashtra,15,wheat,HD02189,RABI,220.0,18,400.0,214.0,43,36.0,50.0
524,Maharashtra,15,wheat,HD02189,RABI,240.0,20,425.0,133.0,25,25.0,40.0
525,Maharashtra,15,wheat,HD02189,RABI,240.0,20,425.0,199.0,37,31.0,50.0
526,Maharashtra,15,wheat,HD02189,RABI,260.0,22,450.0,118.0,25,25.0,40.0
527,Maharashtra,15,wheat,HD02189,RABI,260.0,22,450.0,185.0,32,25.0,50.0
528,Maharashtra,15,wheat,HD02189,RABI,280.0,24,475.0,103.0,25,25.0,40.0
529,Maharashtra,15,wheat,HD02189,RABI,280.0,24,475.0,170.0,26,20.0,50.0
530,Maharashtra,15,wheat,HD02189,RABI,300.0,26,500.0,80.0,25,25.0,40.0
531,Maharashtra,15,wheat,HD02189,RABI,300.0,26,500.0,155.0,20,15.0,50.0
532,Maharashtra,17,Transplanted paddy,Indrayani,-,100.0,10,200.0,174.0,239,77.0,40.0
533,Maharashtra,17,Transplanted paddy,Indrayani,-,100.0,10,200.0,200.0,286,91.0,45.0
