,Crop,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry)
316,Grapefruit-Pink & Red (California & Arizona),lb of fruit ,1,89.31,0.748362956,0.112254443,1.375116932
317,Grapefruit-Pink & Red (Florida),lb of fruit ,1,91.56,1.042654028,0.106635071,1.504739337
318,"Grapefruit-Pink, Red, & White (all areas)",lb of fruit ,1,90.89,1.1064764,0.087815587,1.525795829
319,Grapefruit-White (all areas),lb of fruit ,1,90.48,1.159663866,0.084033613,1.554621849
320,Grapefruit-white (California),lb of fruit ,1,89.58,1.351247601,0.115163148,1.372360845
321,Grapefruit-white (Florida),lb of fruit ,1,90.76,1.090909091,0.075757576,1.623376623
322,"Grass + Clover-Red, for hay",ton,2000,11.6,2.272,0.23,1.42
323,"Grass + Clover-Red, for hay (full bloom)",ton,2000,11.3,2.528,0,0
324,"Grass + Clover-Red, for hay (mature)",ton,2000,8.6,1.776,0.25,0
325,"Grass + Clover-Red, for hay (mid bloom)",ton,2000,10.8,2.656,0.23,1.59
326,"Grass + Clover-White-Ladino type, for green chop",ton,2000,80,2.8,0.4,0
327,"Grass + Clover-White-Ladino type, for green chop (early bloom)",ton,2000,80,2.448,0,0
328,"Grass + Clover-White-Ladino type, for hay",ton,2000,11.25,2.918278596,0.227587769,1.962627407
329,"Grass + Clover-White-Ladino type, for hay (mature)",ton,2000,8.5,1.808,0.22,1.75
330,"Grass, for green chop",ton,2000,72.5,2.503933571,0.256761566,1.969584816
331,"Grass, for green chop (early bloom)",ton,2000,71.8,1.644813853,0.228636364,1.330584416
332,"Grass, for green chop (mature)",ton,2000,52.1,0.977023697,0.05,0
333,"Grass, for hay",ton,2000,10.9,1.518606742,0.218988764,1.449578652
334,"Grass, for hay (early bloom)",ton,2000,10.6,0,0.28,0
335,"Grass, for hay (full bloom)",ton,2000,10.85,1.536,0.24,1.34
336,"Grass, for hay (mature)",ton,2000,9.57,0.842666667,0.16,0
337,"Grass, for silage, (early bloom)",ton,2000,75.1,1.84,0.32,1.88
338,Groundcherry,lb of fruit,1,85.4,2.082191781,0.273972603,0
339,"Guar, for green chop (mature)",ton,2000,80.8,1.904,0.16,1.91
340,"Guar, for green chop (pre bloom)",ton,2000,80.8,2.56,0,0
341,"Guar, for green chop (vegetative)",ton,2000,81,2.336,0.17,1.92
342,"Guar, for hay",ton,2000,8.05,2.664,0,0
343,Guava-Common,lb of fruit ,1,86.1,0.943884892,0.179856115,2.043165468
344,Guava-Strawberry,lb of fruit ,1,80.66,0.47983454,0.139607032,1.509824199
345,Hickory Nut (dry),lb of nut,1,2.65,2.090600925,0.345146379,0.447868516
346,Jackfruit,lb of fruit,1,72.23,0.846957148,0.129636298,1.09110551
347,Java-plum,lb of fruit,1,83.13,0.682868998,0.100770599,0.4682869
348,"Jojoba, for seed",lb of seed,1,4.9,2.368,0,0
349,Jujube-Common,lb of fruit,1,77.86,0.867208672,0.103884372,1.129177958
350,"Kale, for leaf",lb of leaf,1,85,3.52,0.373333333,2.666666667
351,"Kale, for green chop",lb of leaf,1,88.53,3.398779661,0.529491525,3.03
352,Kiwi,lb of fruit ,1,83.05,0.934513274,0.235988201,1.958702065
353,Kohlrabi,lb of stem,1,91,3.022222222,0.511111111,3.888888889
354,Kumquat,lb of fruit ,1,81.7,0.786885246,0.103825137,1.065573771
355,Leek,lb of fruit ,1,83,1.411764706,0.205882353,1.058823529
356,Lemon,lb of fruit ,1,87.2,1.511904762,0.119047619,1.150793651
357,"Lentil-Common, for seed",lb of seed,1,11.33,4.362666667,0.426666667,0.856666667
358,"Lespedeza-Korean, for hay (early bloom)",ton,2000,6.1,2.448,0,0
359,"Lespedeza-Korean, for hay (full bloom)",ton,2000,9,2.288,0.24,0.96
360,"Lespedeza-Korean, for hay (pre bloom)",ton,2000,13,1.984,0,0
361,"Lespedeza-Korean, for hay (vegetative)",ton,2000,9.6,2.544,0.21,1.05
362,"Lespedeza-Sericea, for hay",ton,2000,10,2.221865471,0.248318386,1.099327354
363,"Lespedeza-Sericea, for hay (cut 2)",ton,2000,8.6,2.304,0.23,1.01
364,"Lespedeza-Sericea, for hay (cut 3)",ton,2000,8.2,2.416,0.23,0.93
365,"Lespedeza-Sericea, for hay (early bloom)",ton,2000,5.4,2.752,0.26,0.69
366,"Lespedeza-Sericea, for hay (full boom)",ton,2000,5.6,2.432,0.22,0
367,"Lespedeza-Sericea, for hay (mid bloom)",ton,2000,7.2,2.704,0,0
368,"Lespedeza-Sericea, for hay (vegetative)",ton,2000,5.8,2.976,0.27,0.99
369,"Lespedeza-Sericea, for seed",ton,100,7.7,5.807575298,0,0
370,"Lespedeza-Striate, for hay",ton,2000,11,2.496,0.29,1.37
371,"Lespedeza-Striate, for hay (early bloom)",ton,2000,9,2.608,0.24,1.1
372,"Lespedeza-Striate, for hay (full bloom)",ton,2000,10.87,2.264,0.206666667,1.036666667
373,"Lespedeza-Striate, for hay (mid bloom)",ton,2000,8,2.016,0.183333333,1.033333333
374,"Lespedeza-Striate, for hay (pre bloom)",ton,2000,11.07,2.56,0.266666667,1.213333333
375,"Lettuce-Butterhead or Curled, for leaf",lb of leaf,1,96,4.8,0.775,6.75
376,"Lettuce-Chrisphead or Iceberg or Great Lakes, for leaf",lb of leaf,1,95,2.56,0.5,2
377,"Lettuce-Head, for head",lb of leaf,1,94.8,3.81,0.48,4.52
378,"Lettuce-Romaing or Cos, for leaf",lb of leaf,1,94,4.266666667,0.75,6.666666667
379,Lime,lb of fruit ,1,88.26,0.954003407,0.153321976,0.868824532
380,Longan,lb of fruit,1,82.75,1.215072464,0.12173913,1.542028986
381,Loquat,lb of fruit,1,86.73,0.518462698,0.203466466,2.004521477
382,Lychee Nut,lb of fruit ,1,81.76,0.728070175,0.16995614,0.9375
383,Macadamia Nut (dry),lb of nut,1,2.88,1.36738056,0.140032949,0.378912685
384,Mammee apple,lb of fruit,1,86.2,0.579710145,0.079710145,0.34057971
385,Mango,lb of fruit ,1,81.71,0.446145435,0.060142154,0.852925096
386,Melon-Canteloupe,lb of fruit ,1,89.89,1.488845401,0.362113503,3.161741683
387,Melon-Casaba,lb of fruit ,1,92,1.5,0.0875,2.625
388,Melon-Honeydew,lb of fruit ,1,88.33,0.909745574,0.164801369,2.579675644
389,Melon-Waternelon,cwt,100,90.84,1.113580683,0.112002356,1.333156655
390,"Millet-Foxtail, for grain",bu,50,10.62,2.1127641,0.343616723,0.349307894
391,"Millet-Foxtail, for green chop and silage (late bloom)",ton,2000,72.45,1.594131488,0.18150519,1.94
392,"Millet-Foxtail, for hay",ton,2000,7,1.582795699,0,0
393,"Millet-Foxtail, for straw",ton,2000,10.67,0.673925926,0,1.6
394,"Millet-Pearl, for grain",bu,50,10.1,2.216,0.375,0.39
395,"Millet-Pearl, for green chop and silage (milk to soft dough stage)",ton,2000,78.4,1.544,0.26,1.63
396,"Millet-Pearl, for hay",ton,2000,10.1,1.601779755,0,0
397,"Millet-Pearl, for straw",lb straw/lb grain,1.55,10,0.677777778,0,1.6
398,"Millet-Proso, for grain",bu,56,9.9,2.080332743,0.335464602,0.478554572
399,"Millet-Proso, for straw",lb straw/bu grain,84.5,10,0.677777778,0,1.6
400,"Mustard, for seed",cwt,100,4.1,3.837330553,0,0
401,"Mint, for hay (mature)",ton,2000,12.27,2.336,0.22,0
402,Mulberry,lb of fruit,1,87.68,1.87012987,0.308441558,1.574675325
403,Mungbean,lb of seed,1,10.23,4.117333333,0.4,1.326666667
404,Mushroom,lb of fruit ,1,92,5.8,1.125,4
405,"Mustard, for greens (immature leaf)",lb of leaf,1,91,4.8,0.5,3.777777778
406,"Mustard, for hay",ton,2000,17.5,2.832,0,0
407,Natalgrass for hay,ton,2000,7.5,0.64,0.345945946,0
408,Nectarine,lb of fruit ,1,86.28,1.096209913,0.116618076,1.545189504
409,"Oat, for grain (not including Pacific Coast)",bu,32,10.67,2.093241724,0.381844621,0.464179601
410,"Oat, for grain (Pacific coast)",bu,32,8.87,1.587649123,0.335,0.42
411,"Oat, for green chop",ton,2000,78.9,2.12,0.24,1.89
412,"Oat, for green chop (boot to early bloom)",ton,2000,73.97,1.97593985,0.339448622,1.879899749
413,"Oat, for green chop (dough stage)",ton,2000,70.93,0,0.253333333,1.933333333
414,"Oat, for green chop (full bloom)",ton,2000,67.8,0,0.31,2.07
415,"Oat, for green chop (mature)",ton,2000,72,1.43542857,0.282857145,0
416,"Oat, for green chop (vegetative)",ton,2000,83.68,2.886921987,0.473532241,0
417,"Oat, for hay",ton,2000,10.24,1.373104523,0.237019425,1.260527809
418,"Oat, for hay (dough stage)",ton,2000,9.1,1.456,0.203333333,1.53
419,"Oat, for hay (early bloom)",ton,2000,10.9,1.536,0,0
420,"Oat, for hay (full bloom)",ton,2000,14.2,1.472,0.35,2.41
421,"Oat, for hay (mature)",ton,2000,8.65,1.232,0.23,0
422,"Oat, for hay (milk stage)",ton,2000,12.1,1.336,0.2,0
423,"Oat, for hay (vegetative)",ton,2000,9.9,2.208,0.43,0
424,"Oat, green chop (milk stage)",ton,2000,73.43,1.450586466,0.339172932,2.149849624
425,"Oat, straw (not including Pacific coast)",lb straw/bu grain,44.5,9.68,0.706193318,0.085055679,2.389292873
426,"Oat, straw (Pacific Coast)",lb straw/bu grain,44.5,10.2,0.734966592,0.100222717,2.227171492
427,"Oatgrass-Tall, for hay",ton,2000,8.1,1.63656148,0,0
428,Ohelogerrie,lb of fruit,1,92.3,0.78961039,0.12987013,0.493506494
429,Okra,lb of leaf,1,88,2.666666667,0.525,2.333333333
430,Okra-Chinese,lb of leaf,1,93,2.742857143,0.457142857,0
431,Onion-Dry (bulb),lb of fruit ,1,90,2.2,0.26,0
432,Onion-Dry (bulb) cultivar 'Southport White Globe',lb of fruit ,1,86,1.714285714,0.307142857,1.285714286
433,Onion-Dry (bulb) cultivar 'Sweet Spanish',lb of fruit ,1,90,0.8,0.27,1.2
434,Onion-Green (bulb),lb of fruit ,1,90,2.08,0.43,1.2
435,Onion-Green (leaf),lb of leaf,1,92,4,0.375,2.75
436,Orange (all commercial varieties),lb of fruit ,1,84.24,1.182515723,0.12048218,1.366037736
437,Orange (Florida),lb of fruit ,1,87.14,0.870917574,0.093312597,1.314152411
438,Orange (with peel),lb of fruit ,1,82.3,1.175141243,0.124293785,1.107344633
439,Orange-Navel (California),lb of fruit ,1,86.81,1.249431387,0.144048522,1.349507202
440,Orange-Valencia (California),lb of fruit ,1,86.34,1.218155198,1.244509517,1.310395315
441,"Orchardgrass + Alfalfa, for hay",ton,2000,9.7,2.479714286,0.267857143,0
442,"Orchardgrass + Alfalfa, for hay (cut 1)",ton,2000,7.95,2.144,0.2,1.49
443,"Orchardgrass, for green chop",ton,2000,74.13,2.368,0.175,2.635
444,"Orchardgrass, for green chop (mature)",ton,2000,9.6,1.056,0,0
445,"Orchardgrass, for green chop (mid bloom)",ton,2000,72.2,1.537631653,0.202377049,2.09
446,"Orchardgrass, for green chop (pre bloom)",ton,2000,73.16,2.304655216,0.411997486,3.42
447,"Orchardgrass, for hay",ton,2000,10.83,1.714403608,0.253232807,2.798649944
448,"Orchardgrass, for hay (mature)",ton,2000,10.45,1.254326304,0.25,3.69
449,"Orchardgrass, for hay (mid bloom)",ton,2000,9.5,1.696,0.45,2.05
450,"Orchardgrass, for hay (pre bloom)",ton,2000,12.48,2.393352614,0.46134594,3.823743048
451,"Orchardgrass, for hay (vegetative)",ton,2000,9.83,1.438401776,0.336592675,3.825
452,Papaya,lb of fruit ,1,88.83,0.873769024,0.044762757,2.30080573
453,Parsley,lb of leaf,1,90,3.52,0.4,2.7
454,Parsnip,lb of leaf,1,81,1.010526316,0.363157895,1.736842105
455,"Passion-Fruit, (purple)",lb of fruit,1,72.93,1.300332471,0.251200591,1.285555966
456,"Pea, for straw",ton,2000,13.5,1.530666667,0,0
457,"Pea, for vine (without pods)",ton,2000,75,2,0,0
458,Peach (without skin),lb of fruit ,1,87.83,0.953808752,0.097244733,1.59643436
459,"Pea-Chinese, for immature pod with seeds",lb of fruit ,1,88,3.733333333,0.441666667,1.416666667
460,"Pea-English, for seed (immature seed)",lb of seed,1,79,4.495238095,0.523809524,1.238095238
461,"Pea-Field, for hay",ton,2000,10.93,2.57420178,0.274977604,1.489888018
462,"Pea-Field, for silage",ton,2000,73,2.256,0.29,1.4
463,"Pea-Field, for seed (dry)",lb of seed,1,9.03,4.102871003,0.485316979,1.288902977
464,"Pea-Field, for straw",lb straw/lb grain,0.588,11.2,1.335618625,0.110432373,1.198669623
465,"Pea-Flat, for silage (early bloom)",ton,2000,73,4.22,0.37,2.22
466,"Pea-Garden, for pod",lb of fruit ,1,87.1,2.24,0.23,1.4
467,"Pea-Garden, for seed (dry)",cwt,100,10.45,4.258871003,0.477816979,1.053902977
468,"Pea-Garden, for seed (immature seed)",lb of seed,1,79.5,4.347619048,0.546904762,1.238095238
469,"Pea-Garden, for straw",ton,2000,11.2,1.335618625,0.110432373,1.198669623
470,"Peanut, for fruit (pod with seeds)",lb of fruit,1,6.82,4.254759672,0.350230252,0.561076869
471,"Peanut, for hay (dug and with nuts)",ton,2000,8.25,2.331043478,0.156521739,0.921956522
472,"Peanut, for hay (dug and without nuts)",ton,2000,9.15,1.747002208,0.186743929,1.379845475
473,"Peanut, for hay (mowed)",ton,2000,10.83,1.915489059,0.16,1.38
474,"Peanut, for seed only",lb of seed,1,7.75,4.856613757,0.402116402,0
475,"Peanut, for vine only",lb vine/lb fruit,1.38,9.45,1.643002208,0.143487859,1.379690949
476,Pear,lb of fruit ,1,82.91,0.39271155,0.067943175,0.772081532
477,"Pea-Shelling, for seed (immature seed)",lb of seed,1,79,4.495238095,0.523809524,1.238095238
478,"Pea-Sugar, for immature pod with seeds",lb of fruit ,1,88,3.733333333,0.441666667,1.416666667
479,Pecan (dry),lb of nut,1,15,2.8,0,0
480,Pepper-Bell (green),lb of fruit ,1,92.5,2.178571429,0.377142857,2.142857143
481,Pepper-Bell (red),lb of fruit ,1,91,1.422222222,0.311111111,2.222222222
482,Pepper-Chili (green),lb of fruit ,1,86,2.285714286,0.328571429,1.857142857
483,Pepper-Chili (red),lb of fruit ,1,84,2,0.28125,2.625
484,Pepper-Pimiento,lb of fruit ,1,90,1.92,0.2,2.5
485,Persimmon-Japanese,lb of fruit ,1,80.32,0.471544715,0.086382114,0.818089431
486,Persimmons-Native,lb of fruit ,1,64.4,0.359550562,0.073033708,0.870786517
487,Pineapple,lb of fruit ,1,86.5,0.462222222,0.051851852,0.837037037
488,"Pistachio, for nuts (dry)",lb of nut,1,3.87,3.42536149,0.523249766,1.137001977
489,Pitanga,lb of fruit,1,90.81,1.392818281,0.119695321,1.12078346
490,Plantain,lb of fruit ,1,65.28,0.599078341,0.097926267,1.437211982
491,Plum,lb of fruit ,1,85.2,0.854054054,0.067567568,1.162162162
492,Pomegranate (without skin),lb of fruit ,1,80.97,0.798738833,0.042038886,1.361008933
493,Potato-Irish for tuber,cwt,100,77.2,1.608220035,0.247037645,1.997419561
494,"Potato-Irish, for vine",ton,2000,48.9,2.24,0.2,3.95
495,"Prairie (Marsh), for hay",ton,2000,11.8,1.584,0.11,0.77
496,"Prairie (Meadow), for hay (intermountain area)",ton,2000,6.5,1.328,0.16,0
497,"Prairie, for hay (Colorado, Wyoming)",ton,2000,5.5,1.185185185,0,0
498,"Prairie, for hay (Kansas, Oklahoma)",ton,2000,9.5,0.777900552,0.077348066,0
499,"Prairie, for hay (Midwest, Minnesota, South Dakota)",ton,2000,10.3,1.054986425,0.132217195,1.08
500,"Prairie, for hay (western, early cut)",ton,2000,9,1.296703297,0.208791209,1.076923077
501,"Prairie, for hay (western, mature and weathered)",ton,2000,9.05,0.594272035,0.05632209,0
502,"Prairie, for hay (western, mature)",ton,2000,8.1,0.761697497,0.087051143,0.794341676
503,"Prairie, for hay (western, mid-season cut)",ton,2000,8.7,1.051478642,0.13143483,0
504,Pricklypear (without skin),lb of fruit,1,87.55,0.93815261,0.192771084,1.767068273
505,Pummelo (without skin),lb of fruit,1,89.1,1.11559633,0.155963303,1.981651376
506,Pumpkin,lb of fruit ,1,90.67,2.585038462,0.393653846,2.779038462
507,Quince,lb of fruit ,1,83.8,0.395061728,0.104938272,1.216049383
508,"Radish, for root, cultivar 'Icicle'",lb of root,1,94,2.933333333,0.466666667,4.666666667
509,"Radish, for root, cultivar 'Scarlet Globe'",lb of root,1,94,1.866666667,0.45,3.166666667
510,"Radish-Chinese Winter, for root",lb of root,1,94,1.6,0.4,3.166666667
511,Raspberry,lb of fruit ,1,86.57,1.084139985,0.089352197,1.13179449
512,"Redtop, for green chop",ton,2000,73.57,2.032,0.38,2.196666667
513,"Redtop, for hay",ton,2000,8.44,1.30737157,0.215376663,1.888991228
514,"Redtop, for hay (full bloom)",ton,2000,7,1.504,0.35,1.69
515,"Redtop, for hay (late vegetative)",ton,2000,8,2.208,0.15,2.39
516,"Redtop, for hay (mature)",ton,2000,8.3,0.944,0,0
517,"Redtop, for hay (mid bloom)",ton,2000,7.2,1.92,0,0
518,"Rhubarb, for fruit",lb of fruit,1,93.61,2.253521127,0.219092332,4.507042254
519,"Rhubarb, for leaf petiole",lb of leaf,1,92,1.4,0.25,4.5
520,"Rice-Rough, for grain",cwt,100,11.33,1.386730857,0.286220466,0.453220721
521,"Rice, for straw",lb straw/cwt grain,100,9.18,0.709101759,0.084112084,1.47722973
522,Rose-apple,lb of fruit,1,93,1.371428571,0.114285714,1.757142857
523,Roselle,lb of fruit,1,86.58,1.144560358,0.275707899,1.549925484
524,Rutabaga,lb of root,1,90,1.92,0.41,2.2
525,"Rye, for grain",bu,56,11.88,2.139235697,0.379510973,0.518784916
526,"Rye, for green chop",ton,2000,79.6,2.842666667,0.376666667,3.12
527,"Rye, for green chop (dough stage)",ton,2000,66.6,2.144,0.3,0
528,"Rye, for green chop (mature)",ton,2000,76.6,1.392888889,0.256410256,0
529,"Rye, for hay",ton,2000,7.38,1.213701516,0.218438996,1.237513691
530,"Rye, for hay (dough stage)",ton,2000,6.9,1.68,0,0
531,"Rye, for hay (mature)",ton,2000,9.1,1.296,0,0
532,"Rye, for straw",lb straw/bu grain,87,9.07,0.504688814,0.09424569,0.969956897
533,"Ryegrass-Perennial, for green chop",ton,2000,76.88,1.863127819,0.281578947,2.548646617
534,"Ryegrass-Perennial, for green chop (early vegetative)",ton,2000,79.13,3.966666667,0.4,3.08
535,"Ryegrass-Perennial, for green chop (late vegetative)",ton,2000,75,2,0,0
536,"Ryegrass-Perennial, for green chop (mid bloom)",ton,2000,69.85,1.548,0,0
537,"Ryegrass-Perennial, for hay",ton,2000,12.74,1.485349706,0.196247216,1.420227273
538,"Ryegrass-Perennial, for hay (early vegetative)",ton,2000,8.6,2.24,0,0
539,"Ryegrass-Perennial, for hay (late vegetative)",ton,2000,15,1.85,0,0
540,"Ryegrass-Perennial, for hay (mature)",ton,2000,14.3,0.888,0.065,0
541,"Ryegrass-Perennial, for hay (mid bloom)",ton,2000,15,1.3,0,0
542,"Safflower, for seed",cwt,100,7.6,2.672859291,0.6,0.75
543,"Saltgrass, for hay",ton,2000,10.77,1.424,0.1,0
544,Sapodilla,lb of fruit,1,78,0.32,0.054545455,0.877272727
545,Sapote,lb of fruit,1,62.43,0.902848017,0.074527549,0.915624168
546,"Sesame, for seed",cwt,100,6.88,3.657367955,0.773623188,0.5
547,"Smooth Brome + Alfalfa, for green chop",ton,2000,77.63,3.322074074,0.310555556,2.8
548,"Smooth Brome + Alfalfa, for hay",ton,2000,11.58,2.41770852,0.271053812,1.897746637
549,"Smooth Brome + Alfalfa, for hay (cut 1)",ton,2000,10.1,2.192,0.295,1.4
550,"Smooth Brome + Alfalfa, for hay (cut 2)",ton,2000,10.2,2.192,0.21,0
551,"Sorghum, for grain",bu,56,11.18,1.867377828,0.332736562,0.386734323
552,"Sorghum, for green chop",ton,2000,76.85,1.368,0.24,2.51
553,"Sorghum, for green chop (dough stage)",ton,2000,72.17,1.162666667,0.21,0
554,"Sorghum, for green chop (mid bloom)",ton,2000,75.8,1.424,0.215,1.11
555,"Sorghum, for green chop (milk stage)",ton,2000,74.95,1.184963855,0.193493976,1.521927711
556,"Sorghum, for silage",ton,2000,71.6,1.012,0.21,1.11
557,"Sorghum, for silage (dough stage)",ton,2000,73.9,0.968,0.2,1.11
558,"Sorghum, for silage (early bloom)",ton,2000,71.9,0.992,0.2,1.11
559,"Sorghum, for silage (mature)",ton,2000,66.1,1.2,0.2,1.11
560,"Sorghum, for silage (milk state)",ton,2000,75.2,1.344,0.185,1.145
561,"Sorghum, for stover",lb straw/bu grain,56,8.13,0.67210989,0.12896978,0.73
562,"Sorghum/Sudangrass, for grain",bu,40,8.3,2.330666667,0,0
563,"Sorghum/Sudangrass, for green chop",ton,2000,78.25,1.848,0.23,2.565
564,"Sorghum/Sudangrass, for green chop (early bloom)",ton,2000,76.6,1.28,0.3,1.45
565,"Sorghum/Sudangrass, for green chop (full bloom)",ton,2000,74.5,1.410666667,0.3,1.58
566,"Sorghum/Sudangrass, for green chop (mature)",ton,2000,70,0.88,0.21,1.82
567,"Sorghum/Sudangrass, for green chop (vegetative)",ton,2000,82.05,2.547333333,0.41,2.275
568,"Sorghum/Sudangrass, for hay",ton,2000,7.83,1.779429778,0.291143963,2.15
569,"Sorghum/Sudangrass, for silage",ton,2000,77,1.638,0.21,2.61
570,"Sorghum/Sudangrass, for straw",ton,2000,9.6,1.312,0,0
571,Soursop,lb of fruit,1,81.16,0.8492569,0.143312102,1.475583864
572,"Soybean, for grain",bu,60,10.12,6.567758454,0.672763285,1.541666667
573,"Soybean, for green chop",ton,2000,76.85,2.9395,0.282916667,0.919166667
574,"Soybean, for green chop (early bloom)",ton,2000,80,2.55,0,0
575,"Soybean, for green chop (full bloom)",ton,2000,82.27,2.934923077,0.288461538,1.057692308
576,"Soybean, for green chop (mature)",ton,2000,75.8,2.644628099,0.289256198,0.867768595
577,"Soybean, for green chop (mid bloom)",ton,2000,78.93,2.774923077,0.289487179,1.059230769
578,"Soybean, for hay",ton,2000,10.66,2.571179594,0.244972726,1.105743473
579,"Soybean, for hay (early bloom)",ton,2000,11.23,3.01669697,0.388787879,0
580,"Soybean, for hay (full bloom)",ton,2000,11.7,2.24,0,0
581,"Soybean, for hay (mature)",ton,2000,10.27,2.454363636,0.28469697,0.880909091
582,"Soybean, for hay (mid-bloom)",ton,2000,7.1,2.44,0.27,0.97
583,"Soybean, for immature seed",lb of seed,1,73,5.333333333,0.218518519,0.777777778
584,"Soybean, for straw",lb straw/bu grain,96.75,11.07,0.832386256,0.058747657,0.572058493
585,Spinach,lb of leaf,1,90.64,5.2056,0.556,5.6625
586,Spinach-New Zealand,lb of leaf,1,94,4,0.466666667,2.166666667
587,"Squash Straight neck, for immature fruit (summer)",lb of fruit ,1,94,2.666666667,0.466666667,3
588,"Squash-Acorn, for mature fruit (winter)",lb of fruit ,1,86,0.914285714,0.257142857,3.714285714
589,"Squash-Balsampear, for immature fruit (summer)",lb of fruit ,1,94,2.933333333,0.466666667,0
590,"Squash-Butternut, for mature fruit (winter)",lb of fruit ,1,85,1.066666667,0.22,2.666666667
591,"Squash-Chinese wintermelon, for mature fruit (winter)",lb of fruit ,1,96,0.8,0.175,5
592,"Squash-Chinese, for immature fruit (summer)",lb of fruit ,1,94,2.666666667,0.383333333,0
593,"Squash-Crockneck, for immature fruit (summer)",lb of fruit ,1,92,2.8,0.475,2.375
594,"Squash-Hubbard, for mature fruit (winter)",lb of fruit ,1,88,2.666666667,0.175,2.666666667
595,"Squash-Pink Banana, for mature fruit (winter)",lb of fruit ,1,91,3.555555556,0.422222222,3.666666667
596,"Squash-Scallop, for immature fruit (summer)",lb of fruit ,1,93,2.742857143,0.514285714,2.142857143
597,"Squash-Zucchini, for immature fruit (summer)",lb of fruit ,1,95,3.84,0.64,4.4
598,Strawberry,lb of fruit ,1,91.28,1.253884935,0.213523132,1.96915777
599,Sugar apple,lb of fruit,1,73.23,1.231228988,0.119536795,0.922674636
600,"Sugarbeet, root with crown",ton,2000,80.3,1.342682927,0.243902439,1.524390244
601,"Sugarbeet, root without crown",ton,2000,79.28,1.052,0.2175,1.543333333
602,"Sugarbeet, top with crown",ton,2000,83.03,2.433333333,0.225,5.79
603,"Sugarbeet, top without crown",ton,2000,82.1,2.457865169,0.224719101,5.786516854
604,"Sugarcane, cane top + trash",ton,2000,73.83,0.866,0.235,2.96
605,"Sugarcane, millable cane (less than 12 month crop)",ton,2000,35,0.088466667,0.020826667,0.229666667
606,"Sugarcane, millable cane and trash (less than 12 month crop)",ton,2000,35,0.111,0.016,0.167
607,"Sunflower, for seed (with hull, confection type)",cwt,100,7.36,3.130988604,0.619111111,0.733025641
608,"Sunflower, for seed (with hull, oil type)",cwt,100,7.36,2.993186325,0.626388889,0.718782051
609,"Sunflower, for stover (yield less than 500 lb/acre)",lb stover/cwt fruit,100,13.3,0.86,0.11,1.94
610,"Sunflower, for stover (yield more than 500 lb/acre)",lb stover/cwt fruit,150,13.3,0.86,0.11,1.94
611,"Sweet Potato, for root",lb of root,1,68.85,0.909181818,0.150984848,1.036767677
612,"Sweet Potato, for vine",ton,2000,78.1,2.048,0,0
613,"Sweetclover, for green chop",ton,2000,75,2.874,0.27,1.65
614,"Sweetclover, for green chop (full bloom)",ton,2000,67.3,2.688,0.22,1.44
615,"Sweetclover, for green chop (mid bloom)",ton,2000,70.8,2.688,0.24,1.44
616,"Sweetclover, for green chop (pre bloom)",ton,2000,79.2,3.152,0.48,0
617,"Sweetclover, for green chop (vegetative)",ton,2000,80.3,3.472,0.44,2.95
618,"Sweetclover, for hay",ton,2000,10.42,2.649712335,0.236055109,1.652559913
619,"Sweetclover, for hay (early bloom)",ton,2000,17.4,2.768,0,0
620,"Sweetclover, for hay (full bloom)",ton,2000,11.1,2.064,0,0
621,"Sweetclover, for hay (mature)",ton,2000,8.95,1.824,0.185,0.8
622,"Sweetclover, for hay (vegetative)",ton,2000,9.8,2.576,0.295,1.78
623,"Sweetclover, for seed",cwt,100,7.8,6.490950109,0,0
624,"Sweetclover, for silage",ton,2000,70.7,2.857055928,0.21,1.955
625,"Sweetclover, for silage (early bloom)",ton,2000,72.8,3.424,0.25,1.95
626,"Sweetclover, for silage (full bloom)",ton,2000,68.6,2.992,0.235,1.695
627,"Sweetclover, for silage (pre bloom)",ton,2000,65.2,3.44,0.25,1.95
628,"Switchgrass, for green chop",ton,2000,44.85,0.944,0.09,0
629,"Switchgrass, for green chop ( mature)",ton,2000,58.07,0.81631746,0.15,1.97
630,"Switchgrass, for green chop (full bloom)",ton,2000,60.4,1.008,0.12,0
631,"Switchgrass, for green chop (over ripe)",ton,2000,23.3,0.304,0.05,0
632,"Switchgrass, for green chop (vegetative)",ton,2000,67.27,1.642805195,0.215,2.85
633,Tamarind,lb of fruit,1,31.4,0.653061224,0.164723032,0.915451895
634,Tangerine,lb of fruit ,1,87.6,0.812903226,0.080645161,1.266129032
635,"Taro, for corm",lb of corm,1,72,0.864,0.265,0
636,"Taro-Pink, for corm",lb of corm,1,80,0.8,0.535,2.5
637,"Taro-White, for corm",lb of corm,1,82,1.777777778,0.333333333,3.944444444
638,"Timothy + Alfalfa, for green chop (50% alfalfa)",ton,2000,78.08,3.364748858,0.368824201,2.239360731
639,"Timothy + Alfalfa, for hay",ton,2000,10.37,2.172886905,0.211071429,2.16
640,"Timothy + Alfalfa, for hay (cut 1)",ton,2000,9.8,1.792,0.14,0
641,"Timothy + Alfalfa, for hay (cut 2)",ton,2000,9,2.8,0.21,0
642,"Timothy + Clover, for hay",ton,2000,11.1,1.488,0.17,1.81
643,"Timothy + Clover-Red, for hay",ton,2000,9.6,0,0.17,1.52
